Channel,Marker,Type
Eu151Di_ATM,ATM,state
Nd146Di_BCL2,BCL2,state
Er168Di_BCL6,BCL6,state
Nd145Di_CCND1,CCND1,type
Sm149Di_CCR4,CCR4,state
Er167Di_CD11b,CD11b,type
Sm152Di_CD11c,CD11c,type
Nd144Di_CD14,CD14,type
Sm147Di_CD163,CD163,type
Dy161Di_CD20,CD20,type
Er170Di_CD3,CD3,type
In115Di_CD31,CD31,type
Gd156Di_CD4,CD4,type
Y89Di_CD45,CD45,type
Er166Di_CD45RA,CD45RA,type
Yb173Di_CD45RO,CD45RO,type
Nd142Di_CD5,CD5,type
Yb171Di_CD68,CD68,type
Dy162Di_CD8,CD8,type
Pr141Di_CXCR3,CXCR3,state
Dy163Di_FOXP3,FOXP3,type
La139Di_HLAABC,HLAABC,state
Yb174Di_HLADR,HLADR,type
Pt196Di_KI67,KI67,state
Eu153Di_LAG3,LAG3,state
Lu175Di_P53,P53,state
Nd148Di_PD1,PD1,state
Nd150Di_PDL1,PDL1,state
Yb172Di_PDL2,PDL2,state
Ho165Di_SOX11,SOX11,type
Tb159Di_Shh,Shh,state
Yb176Di_TGFb,TGFb,state
Sm154Di_TIM3,TIM3,state
Gd160Di_VISTA,VISTA,state
Dy164Di_cMYC,cMYC,state
Gd155Di_pNFKb,pNFKb,state
Gd158Di_pSTAT3,pSTAT3,state
